user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method
ckshanima2005@gmail.com,2-3,Apartment,Palakkad,2,10,Plastic packet,1-3,Always,250g_500g,home_compost,daily,12,1-2,recycle
user1@gmail.com,2-3,Apartment,Kollam,2,19,Plastic bottle,,Never,250g_500g,collector,daily,0,6+,recycle
user2@gmail.com,2-3,Large house,Kottayam,1,19,Plastic bottle,,Sometimes,250g_500g,collector,no,0,3-5,recycle
user3@gmail.com,4-5,Small house,Malappuram,4,17,Plastic packet,4-7,Always,250g_500g,home_compost,no,0,none,sell
user4@gmail.com,4-5,Large house,Malappuram,4,7,Loose / refill,,Never,250g_500g,worm_compost,monthly,0,6+,recycle
user5@gmail.com,4-5,Large house,Kannur,4,9,Plastic bottle,7+,Never,500g_1kg,biomethanation,daily,0,1-2,recycle
user6@gmail.com,2-3,Apartment,Pathanamthitta,1,5,Plastic packet,,Always,250g_500g,biomethanation,daily,0,3-5,sell
user7@gmail.com,2-3,Apartment,Kasaragod,2,16,Loose / refill,7+,Sometimes,250g_500g,biomethanation,weekly,0,6+,store
user8@gmail.com,2-3,Large house,Thrissur,3,2,Plastic bottle,,Sometimes,250g_500g,home_compost,weekly,0,none,sell
user9@gmail.com,4-5,Apartment,Idukki,3,18,Plastic packet,1-3,Sometimes,250g_500g,community,monthly,1,3-5,recycle
user10@gmail.com,1,Large house,Idukki,0,12,Loose / refill,,Always,250g_500g,biomethanation,no,0,6+,recycle
user11@gmail.com,6+,Apartment,Kollam,6,9,Plastic packet,7+,Never,250g_500g,collector,no,1,1-2,sell
user12@gmail.com,4-5,Large house,Wayanad,3,9,Plastic packet,1-3,Never,250g_500g,biomethanation,no,0,1-2,sell
user13@gmail.com,2-3,Apartment,Kottayam,3,20,Plastic packet,,Sometimes,250g_500g,biomethanation,weekly,0,1-2,sell
user14@gmail.com,4-5,Large house,Pathanamthitta,3,19,Plastic bottle,,Sometimes,250g_500g,biomethanation,weekly,0,6+,sell
user15@gmail.com,4-5,Large house,Thiruvananthapuram,3,8,Plastic packet,7+,Sometimes,250g_500g,worm_compost,monthly,0,1-2,sell
user16@gmail.com,4-5,Large house,Kozhikode,4,18,Loose / refill,1-3,Sometimes,250g_500g,worm_compost,no,0,6+,store
user17@gmail.com,2-3,Large house,Alappuzha,1,2,Plastic packet,4-7,Sometimes,250g_500g,biomethanation,monthly,0,3-5,trash
user18@gmail.com,2-3,Small house,Malappuram,3,6,Plastic bottle,4-7,Sometimes,250g_500g,biomethanation,daily,0,6+,sell
user19@gmail.com,2-3,Large house,Wayanad,1,17,Plastic bottle,4-7,Sometimes,250g_500g,home_compost,no,0,3-5,recycle
user20@gmail.com,4-5,Small house,Ernakulam,4,3,Plastic bottle,1-3,Always,250g_500g,worm_compost,no,0,6+,trash
user21@gmail.com,1,Small house,Alappuzha,0,12,Plastic packet,1-3,Always,250g_500g,community,monthly,0,6+,trash
user22@gmail.com,2-3,Apartment,Idukki,2,12,Plastic packet,,Always,250g_500g,collector,daily,0,none,trash
user23@gmail.com,2-3,Small house,Wayanad,2,8,Loose / refill,,Never,250g_500g,collector,weekly,1,1-2,recycle
user24@gmail.com,2-3,Large house,Idukki,2,15,Loose / refill,4-7,Never,250g_500g,biomethanation,weekly,1,3-5,recycle
user25@gmail.com,4-5,Apartment,Malappuram,4,13,Plastic bottle,4-7,Always,250g_500g,home_compost,no,0,6+,store
user26@gmail.com,2-3,Apartment,Kozhikode,2,8,Plastic packet,7+,Never,250g_500g,biomethanation,daily,0,none,recycle
user27@gmail.com,4-5,Apartment,Ernakulam,4,6,Plastic packet,7+,Sometimes,250g_500g,collector,weekly,0,3-5,recycle
user28@gmail.com,1,Small house,Kollam,1,16,Loose / refill,,Always,250g_500g,biomethanation,no,0,1-2,store
user29@gmail.com,6+,Small house,Kottayam,3,8,Plastic packet,7+,Always,250g_500g,biomethanation,daily,0,3-5,trash
user30@gmail.com,6+,Small house,Malappuram,5,2,Loose / refill,1-3,Sometimes,250g_500g,community,daily,0,3-5,sell
user31@gmail.com,2-3,Large house,Kozhikode,2,2,Plastic packet,,Never,250g_500g,collector,weekly,0,1-2,trash
user32@gmail.com,2-3,Apartment,Idukki,3,18,Plastic bottle,4-7,Never,250g_500g,biomethanation,daily,0,1-2,recycle
user33@gmail.com,4-5,Large house,Kasaragod,4,19,Plastic bottle,1-3,Never,250g_500g,home_compost,daily,0,6+,recycle
user34@gmail.com,4-5,Small house,Kasaragod,3,8,Loose / refill,1-3,Never,250g_500g,community,monthly,0,none,sell
user35@gmail.com,2-3,Apartment,Thiruvananthapuram,2,11,Plastic packet,4-7,Never,250g_500g,community,no,1,none,sell
user36@gmail.com,1,Apartment,Thiruvananthapuram,1,6,Loose / refill,,Always,250g_500g,collector,weekly,1,none,sell
user37@gmail.com,4-5,Large house,Kannur,2,18,Loose / refill,4-7,Never,250g_500g,biomethanation,monthly,0,3-5,sell
user38@gmail.com,4-5,Small house,Alappuzha,2,20,Plastic bottle,4-7,Sometimes,250g_500g,community,monthly,0,none,sell
user39@gmail.com,6+,Small house,Palakkad,4,8,Plastic packet,4-7,Always,250g_500g,home_compost,no,0,none,recycle
