user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method,family_size_encoded,batteries_encoded,fraud_probability,fraud_flag
ckshanima2005@gmail.com,2-3,Apartment,Palakkad,2,10,Plastic packet,1-3,Always,250g_500g,home_compost,daily,12,1-2,recycle,1,0,43.26,0
user1@gmail.com,2-3,Apartment,Kollam,2,19,Plastic bottle,,Never,250g_500g,collector,daily,0,6+,recycle,1,2,24.19,0
user2@gmail.com,2-3,Large house,Kottayam,1,19,Plastic bottle,,Sometimes,250g_500g,collector,no,0,3-5,recycle,1,1,22.62,0
user3@gmail.com,4-5,Small house,Malappuram,4,17,Plastic packet,4-7,Always,250g_500g,community,monthly,0,none,sell,2,3,43.97,0
user4@gmail.com,4-5,Large house,Malappuram,4,7,Loose / refill,,Never,250g_500g,worm_compost,monthly,0,6+,recycle,2,2,21.31,0
user5@gmail.com,4-5,Large house,Kannur,4,9,Plastic bottle,7+,Never,250g_500g,biomethanation,weekly,0,1-2,recycle,2,0,19.24,0
user6@gmail.com,2-3,Apartment,Pathanamthitta,1,5,Plastic packet,,Always,250g_500g,biomethanation,daily,0,3-5,sell,1,1,15.08,0
user7@gmail.com,2-3,Apartment,Kasaragod,2,16,Loose / refill,7+,Sometimes,250g_500g,biomethanation,weekly,0,6+,store,1,2,13.66,0
user8@gmail.com,2-3,Large house,Thrissur,3,2,Plastic bottle,,Sometimes,250g_500g,home_compost,no,0,none,sell,1,3,51.7,0
user9@gmail.com,4-5,Apartment,Idukki,3,18,Plastic packet,1-3,Sometimes,250g_500g,community,monthly,1,3-5,recycle,2,1,15.43,0
user10@gmail.com,1,Large house,Idukki,0,12,Loose / refill,,Always,250g_500g,biomethanation,no,0,6+,recycle,0,2,65.81,0
user12@gmail.com,4-5,Large house,Wayanad,3,9,Plastic packet,1-3,Never,250g_500g,biomethanation,no,0,1-2,sell,2,0,4.64,0
user13@gmail.com,2-3,Apartment,Kottayam,3,20,Plastic packet,,Sometimes,250g_500g,biomethanation,weekly,0,1-2,sell,1,0,41.89,0
user14@gmail.com,4-5,Large house,Pathanamthitta,3,19,Plastic bottle,,Sometimes,250g_500g,biomethanation,weekly,0,6+,sell,2,2,25.91,0
user15@gmail.com,4-5,Large house,Thiruvananthapuram,3,8,Plastic packet,7+,Sometimes,250g_500g,collector,no,0,1-2,sell,2,0,6.06,0
user16@gmail.com,4-5,Large house,Kozhikode,4,18,Loose / refill,1-3,Sometimes,250g_500g,worm_compost,no,0,6+,store,2,2,32.02,0
user17@gmail.com,2-3,Large house,Alappuzha,1,2,Plastic packet,4-7,Sometimes,250g_500g,biomethanation,monthly,0,3-5,trash,1,1,31.07,0
user18@gmail.com,2-3,Small house,Malappuram,3,6,Plastic bottle,4-7,Sometimes,250g_500g,biomethanation,daily,0,6+,sell,1,2,12.64,0
user19@gmail.com,2-3,Large house,Wayanad,1,17,Plastic bottle,4-7,Sometimes,250g_500g,home_compost,no,0,1-2,trash,1,0,26.46,0
user20@gmail.com,4-5,Small house,Ernakulam,4,3,Plastic bottle,1-3,Always,250g_500g,worm_compost,no,0,6+,trash,2,2,36.59,0
user21@gmail.com,1,Small house,Alappuzha,0,12,Plastic packet,1-3,Always,250g_500g,collector,monthly,0,1-2,store,0,0,67.15,0
user22@gmail.com,2-3,Apartment,Idukki,2,12,Plastic packet,,Always,250g_500g,biomethanation,daily,0,none,trash,1,3,19.37,0
user23@gmail.com,2-3,Small house,Wayanad,2,8,Loose / refill,,Never,250g_500g,collector,weekly,1,1-2,recycle,1,0,12.75,0
user24@gmail.com,2-3,Large house,Idukki,2,15,Loose / refill,4-7,Never,250g_500g,biomethanation,weekly,1,3-5,recycle,1,1,7.06,0
user25@gmail.com,4-5,Apartment,Malappuram,4,13,Plastic bottle,4-7,Always,250g_500g,home_compost,no,0,6+,store,2,2,18.61,0
user26@gmail.com,2-3,Apartment,Kozhikode,2,8,Plastic packet,7+,Never,250g_500g,biomethanation,daily,0,none,recycle,1,3,26.4,0
user27@gmail.com,4-5,Apartment,Ernakulam,4,6,Plastic packet,7+,Sometimes,250g_500g,collector,weekly,0,3-5,recycle,2,1,19.69,0
user28@gmail.com,1,Small house,Kollam,1,16,Loose / refill,,Always,250g_500g,biomethanation,no,0,1-2,store,0,0,52.38,0
user29@gmail.com,6+,Small house,Kottayam,3,8,Plastic packet,7+,Always,250g_500g,biomethanation,daily,0,3-5,trash,3,1,32.1,0
user31@gmail.com,2-3,Large house,Kozhikode,2,2,Plastic packet,,Never,250g_500g,collector,weekly,0,1-2,trash,1,0,32.96,0
user32@gmail.com,2-3,Apartment,Idukki,3,18,Plastic bottle,4-7,Never,250g_500g,biomethanation,daily,0,1-2,recycle,1,0,29.59,0
user33@gmail.com,4-5,Large house,Kasaragod,4,19,Plastic bottle,1-3,Never,250g_500g,home_compost,daily,0,6+,recycle,2,2,36.63,0
user34@gmail.com,4-5,Small house,Kasaragod,3,8,Loose / refill,1-3,Never,250g_500g,community,monthly,0,none,sell,2,3,22.55,0
user35@gmail.com,2-3,Apartment,Thiruvananthapuram,2,11,Plastic packet,4-7,Never,250g_500g,community,no,0,3-5,trash,1,1,2.63,0
user36@gmail.com,1,Apartment,Thiruvananthapuram,1,6,Loose / refill,,Always,250g_500g,collector,weekly,1,6+,store,0,2,53.32,0
user37@gmail.com,4-5,Large house,Kannur,2,18,Loose / refill,4-7,Never,250g_500g,biomethanation,monthly,0,3-5,sell,2,1,20.8,0
user38@gmail.com,4-5,Small house,Alappuzha,2,20,Plastic bottle,4-7,Sometimes,250g_500g,community,monthly,0,6+,recycle,2,2,42.52,0
user39@gmail.com,6+,Small house,Palakkad,4,8,Plastic packet,4-7,Always,250g_500g,home_compost,no,0,none,recycle,3,3,55.25,0
user40@gmail.com,2-3,Apartment,Idukki,1,16,Plastic bottle,7+,Always,250g_500g,biomethanation,no,0,1-2,recycle,1,0,22.45,0
user41@gmail.com,2-3,Large house,Kozhikode,2,19,Loose / refill,4-7,Sometimes,250g_500g,collector,daily,0,1-2,recycle,1,0,28.68,0
user42@gmail.com,4-5,Large house,Malappuram,4,10,Plastic bottle,4-7,Always,250g_500g,biomethanation,daily,0,1-2,store,2,0,22.24,0
user43@gmail.com,1,Apartment,Thrissur,1,20,Plastic packet,,Sometimes,250g_500g,collector,daily,0,3-5,sell,0,1,60.57,0
user44@gmail.com,2-3,Small house,Thrissur,3,13,Plastic bottle,1-3,Always,250g_500g,biomethanation,daily,0,1-2,trash,1,0,14.41,0
user45@gmail.com,2-3,Apartment,Thiruvananthapuram,3,15,Plastic packet,,Never,250g_500g,biomethanation,no,0,3-5,trash,1,1,11.84,0
user46@gmail.com,2-3,Apartment,Malappuram,1,3,Loose / refill,,Sometimes,250g_500g,biomethanation,no,0,3-5,recycle,1,1,26.19,0
user47@gmail.com,2-3,Large house,Idukki,3,17,Plastic packet,4-7,Always,250g_500g,community,weekly,0,3-5,store,1,1,17.13,0
user48@gmail.com,2-3,Apartment,Kozhikode,2,10,Loose / refill,,Never,250g_500g,biomethanation,weekly,0,6+,store,1,2,11.33,0
user49@gmail.com,2-3,Small house,Pathanamthitta,1,3,Plastic packet,4-7,Sometimes,250g_500g,biomethanation,daily,0,1-2,trash,1,0,31.89,0
user51@gmail.com,4-5,Apartment,Palakkad,3,2,Loose / refill,1-3,Sometimes,250g_500g,community,daily,1,6+,recycle,2,2,27.59,0
user52@gmail.com,4-5,Apartment,Malappuram,2,18,Plastic packet,7+,Sometimes,250g_500g,community,monthly,0,3-5,sell,2,1,20.8,0
user53@gmail.com,4-5,Apartment,Thiruvananthapuram,2,16,Loose / refill,,Always,250g_500g,collector,monthly,0,3-5,recycle,2,1,17.01,0
user54@gmail.com,1,Apartment,Malappuram,0,18,Plastic packet,7+,Never,250g_500g,home_compost,monthly,0,3-5,trash,0,1,67.12,0
user55@gmail.com,2-3,Large house,Thrissur,3,2,Loose / refill,4-7,Never,250g_500g,collector,daily,0,3-5,trash,1,1,26.4,0
user56@gmail.com,4-5,Apartment,Kollam,4,12,Plastic packet,4-7,Always,250g_500g,biomethanation,no,0,1-2,trash,2,0,18.3,0
user57@gmail.com,6+,Small house,Palakkad,5,6,Plastic packet,7+,Never,250g_500g,mixed,monthly,0,6+,sell,3,2,63.44,0
user58@gmail.com,2-3,Apartment,Thrissur,3,10,Plastic packet,1-3,Always,250g_500g,home_compost,daily,0,3-5,sell,1,1,9.02,0
user59@gmail.com,4-5,Small house,Ernakulam,2,8,Loose / refill,,Sometimes,250g_500g,collector,weekly,0,none,recycle,2,3,27.97,0
user60@gmail.com,6+,Small house,Alappuzha,4,18,Loose / refill,1-3,Sometimes,250g_500g,home_compost,daily,0,6+,store,3,2,57.38,0
user61@gmail.com,4-5,Large house,Kannur,3,6,Loose / refill,7+,Never,250g_500g,community,daily,0,1-2,recycle,2,0,4.6,0
user62@gmail.com,2-3,Small house,Thrissur,2,13,Loose / refill,4-7,Never,250g_500g,community,no,0,3-5,sell,1,1,0.09,0
user63@gmail.com,6+,Small house,Wayanad,4,6,Loose / refill,,Always,250g_500g,collector,daily,1,6+,recycle,3,2,46.35,0
user64@gmail.com,2-3,Apartment,Kottayam,1,15,Plastic packet,4-7,Sometimes,250g_500g,biomethanation,weekly,0,1-2,recycle,1,0,19.75,0
user65@gmail.com,2-3,Large house,Ernakulam,3,11,Plastic bottle,,Never,250g_500g,biomethanation,daily,0,none,trash,1,3,25.59,0
user66@gmail.com,1,Apartment,Thrissur,0,16,Plastic packet,7+,Always,250g_500g,home_compost,monthly,1,6+,recycle,0,2,63.08,0
user67@gmail.com,6+,Apartment,Pathanamthitta,3,20,Plastic packet,1-3,Always,250g_500g,community,no,0,1-2,sell,3,0,58.51,0
user68@gmail.com,2-3,Apartment,Palakkad,1,11,Plastic bottle,4-7,Always,250g_500g,biomethanation,monthly,0,1-2,store,1,0,15.59,0
user69@gmail.com,6+,Apartment,Thiruvananthapuram,5,13,Plastic packet,1-3,Always,250g_500g,community,no,1,1-2,recycle,3,0,63.71,0
user71@gmail.com,2-3,Small house,Palakkad,1,7,Plastic bottle,4-7,Sometimes,250g_500g,collector,monthly,1,1-2,recycle,1,0,19.94,0
user72@gmail.com,4-5,Small house,Kannur,3,16,Plastic bottle,4-7,Always,250g_500g,biomethanation,daily,0,1-2,trash,2,0,14.88,0
user73@gmail.com,4-5,Apartment,Palakkad,3,18,Plastic packet,7+,Sometimes,250g_500g,mixed,monthly,0,1-2,store,2,0,22.39,0
user74@gmail.com,4-5,Apartment,Kollam,2,2,Plastic packet,4-7,Never,250g_500g,biomethanation,weekly,0,1-2,sell,2,0,33.71,0
user75@gmail.com,1,Small house,Palakkad,1,20,Plastic packet,1-3,Never,250g_500g,biomethanation,daily,1,6+,store,0,2,62.16,0
user76@gmail.com,2-3,Apartment,Alappuzha,3,12,Loose / refill,1-3,Sometimes,250g_500g,home_compost,no,0,3-5,recycle,1,1,2.39,0
user77@gmail.com,4-5,Small house,Kottayam,2,5,Loose / refill,7+,Sometimes,250g_500g,biomethanation,monthly,0,6+,sell,2,2,15.92,0
user78@gmail.com,6+,Apartment,Wayanad,4,3,Plastic packet,7+,Sometimes,250g_500g,collector,daily,0,3-5,recycle,3,1,47.44,0
user79@gmail.com,2-3,Small house,Alappuzha,1,11,Plastic bottle,7+,Always,250g_500g,biomethanation,monthly,1,1-2,recycle,1,0,17.57,0
user80@gmail.com,4-5,Apartment,Kollam,3,13,Plastic bottle,4-7,Never,250g_500g,collector,daily,0,1-2,trash,2,0,4.49,0
user81@gmail.com,4-5,Large house,Ernakulam,4,7,Plastic packet,4-7,Never,250g_500g,biomethanation,monthly,0,1-2,trash,2,0,18.96,0
user82@gmail.com,2-3,Apartment,Pathanamthitta,2,14,Plastic bottle,,Always,250g_500g,biomethanation,weekly,0,none,trash,1,3,22.15,0
user83@gmail.com,1,Small house,Idukki,1,10,Plastic bottle,,Sometimes,250g_500g,biomethanation,no,0,3-5,store,0,1,47.82,0
user85@gmail.com,2-3,Apartment,Wayanad,2,16,Plastic bottle,7+,Sometimes,250g_500g,collector,no,0,1-2,sell,1,0,17.18,0
user86@gmail.com,2-3,Apartment,Idukki,2,12,Plastic packet,,Never,250g_500g,biomethanation,no,0,3-5,trash,1,1,0.0,0
user87@gmail.com,2-3,Apartment,Kottayam,1,7,Plastic packet,4-7,Sometimes,250g_500g,biomethanation,weekly,0,1-2,trash,1,0,14.56,0
user88@gmail.com,2-3,Apartment,Kottayam,2,14,Plastic bottle,7+,Sometimes,250g_500g,biomethanation,no,1,1-2,recycle,1,0,13.73,0
user89@gmail.com,2-3,Large house,Kasaragod,1,11,Plastic packet,1-3,Always,250g_500g,collector,no,0,3-5,trash,1,1,10.09,0
user90@gmail.com,1,Apartment,Kannur,1,4,Plastic bottle,7+,Never,250g_500g,biomethanation,no,0,1-2,sell,0,0,53.27,0
user91@gmail.com,2-3,Apartment,Kasaragod,2,19,Plastic bottle,,Sometimes,250g_500g,biomethanation,no,0,6+,recycle,1,2,24.19,0
user92@gmail.com,4-5,Apartment,Thrissur,2,4,Plastic packet,4-7,Sometimes,250g_500g,biomethanation,weekly,0,3-5,trash,2,1,16.09,0
user93@gmail.com,4-5,Small house,Malappuram,2,14,Loose / refill,7+,Always,250g_500g,home_compost,monthly,0,6+,store,2,2,18.64,0
