id,user_email,food_waste,compost,garden_waste
1,ckshanima2005@gmail.com,less_250g,home_compost,weekly
2,ckshanima2005@gmail.com,less_250g,home_compost,daily
3,ckshanima2005@gmail.com,250g_500g,home_compost,daily
4,ckshanima2005@gmail.com,250g_500g,home_compost,daily
5,user1@gmail.com,250g_500g,worm_compost,monthly
6,user2@gmail.com,250g_500g,collector,no
7,user3@gmail.com,500g_1kg,mixed,monthly
8,user4@gmail.com,500g_1kg,biomethanation,daily
9,user5@gmail.com,500g_1kg,worm_compost,monthly
10,user6@gmail.com,250g_500g,community,weekly
11,user7@gmail.com,250g_500g,mixed,monthly
12,user8@gmail.com,250g_500g,home_compost,weekly
13,user9@gmail.com,500g_1kg,home_compost,daily
14,user10@gmail.com,less_250g,worm_compost,daily
15,user11@gmail.com,more_1kg,mixed,daily
16,user12@gmail.com,500g_1kg,community,weekly
17,user13@gmail.com,250g_500g,collector,weekly
18,user14@gmail.com,500g_1kg,home_compost,daily
19,user15@gmail.com,500g_1kg,home_compost,monthly
20,user16@gmail.com,500g_1kg,community,weekly
21,user17@gmail.com,250g_500g,worm_compost,daily
22,user18@gmail.com,250g_500g,home_compost,daily
23,user19@gmail.com,250g_500g,home_compost,no
24,user20@gmail.com,500g_1kg,biomethanation,no
25,user21@gmail.com,less_250g,community,no
26,user22@gmail.com,250g_500g,community,no
27,user23@gmail.com,250g_500g,collector,weekly
28,user24@gmail.com,250g_500g,biomethanation,weekly
29,user25@gmail.com,500g_1kg,community,daily
30,user26@gmail.com,250g_500g,biomethanation,daily
31,user27@gmail.com,500g_1kg,community,no
32,user28@gmail.com,less_250g,worm_compost,no
33,user29@gmail.com,more_1kg,home_compost,weekly
34,user30@gmail.com,more_1kg,biomethanation,daily
35,user31@gmail.com,250g_500g,community,daily
36,user32@gmail.com,250g_500g,collector,daily
37,user33@gmail.com,500g_1kg,worm_compost,monthly
38,user34@gmail.com,500g_1kg,home_compost,daily
39,user35@gmail.com,250g_500g,home_compost,no
40,user36@gmail.com,less_250g,worm_compost,weekly
41,user37@gmail.com,500g_1kg,biomethanation,weekly
42,user38@gmail.com,500g_1kg,home_compost,monthly
43,user39@gmail.com,more_1kg,collector,no
44,user40@gmail.com,250g_500g,biomethanation,no
45,user41@gmail.com,250g_500g,collector,daily
46,user42@gmail.com,500g_1kg,home_compost,monthly
47,user43@gmail.com,less_250g,collector,no
48,user44@gmail.com,250g_500g,biomethanation,daily
49,user45@gmail.com,250g_500g,biomethanation,weekly
50,user46@gmail.com,250g_500g,home_compost,no
51,user47@gmail.com,250g_500g,worm_compost,weekly
52,user48@gmail.com,250g_500g,community,monthly
53,user49@gmail.com,250g_500g,mixed,daily
54,user50@gmail.com,more_1kg,mixed,no
55,user51@gmail.com,500g_1kg,mixed,monthly
56,user52@gmail.com,500g_1kg,mixed,weekly
57,user53@gmail.com,500g_1kg,collector,monthly
58,user54@gmail.com,less_250g,community,monthly
59,user55@gmail.com,250g_500g,home_compost,weekly
60,user56@gmail.com,500g_1kg,community,monthly
61,user57@gmail.com,more_1kg,biomethanation,monthly
62,user58@gmail.com,250g_500g,mixed,no
63,user59@gmail.com,500g_1kg,collector,no
64,user60@gmail.com,more_1kg,community,weekly
65,user61@gmail.com,500g_1kg,collector,daily
66,user62@gmail.com,250g_500g,community,weekly
