user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method,family_size_encoded,batteries_encoded,fraud_flag
user84@gmail.com,1,Large house,Thiruvananthapuram,0,9,Plastic packet,4-7,Sometimes,250g_500g,biomethanation,no,0,none,sell,0,3,1
user106@gmail.com,6+,Large house,Kottayam,5,2,Loose / refill,1-3,Never,250g_500g,collector,monthly,0,1-2,recycle,3,0,1
user108@gmail.com,6+,Small house,Kollam,6,2,Plastic bottle,1-3,Sometimes,250g_500g,biomethanation,weekly,1,1-2,trash,3,0,1
user152@gmail.com,1,Small house,Thiruvananthapuram,1,2,Plastic bottle,,Never,250g_500g,biomethanation,monthly,0,none,sell,0,3,1
user160@gmail.com,6+,Apartment,Palakkad,5,18,Loose / refill,1-3,Sometimes,250g_500g,collector,daily,0,none,store,3,3,1
user172@gmail.com,1,Apartment,Wayanad,0,19,Loose / refill,,Never,250g_500g,mixed,weekly,0,none,sell,0,3,1
user215@gmail.com,1,Apartment,Thiruvananthapuram,0,20,Loose / refill,4-7,Never,250g_500g,biomethanation,no,0,1-2,recycle,0,0,1
user261@gmail.com,6+,Apartment,Kozhikode,6,2,Plastic bottle,1-3,Never,250g_500g,mixed,daily,1,6+,recycle,3,2,1
user317@gmail.com,6+,Small house,Ernakulam,6,2,Loose / refill,4-7,Always,250g_500g,biomethanation,monthly,0,1-2,recycle,3,0,1
user382@gmail.com,6+,Small house,Palakkad,6,2,Plastic packet,1-3,Never,250g_500g,collector,daily,0,3-5,recycle,3,1,1
user417@gmail.com,6+,Large house,Kottayam,5,18,Loose / refill,1-3,Never,250g_500g,biomethanation,monthly,0,none,trash,3,3,1
user454@gmail.com,1,Large house,Thiruvananthapuram,0,19,Plastic bottle,,Sometimes,250g_500g,biomethanation,monthly,0,1-2,sell,0,0,1
user464@gmail.com,6+,Small house,Pathanamthitta,6,2,Loose / refill,4-7,Sometimes,250g_500g,collector,no,0,3-5,trash,3,1,1
user482@gmail.com,6+,Large house,Kannur,5,19,Plastic bottle,,Always,250g_500g,community,daily,1,none,recycle,3,3,1
user491@gmail.com,1,Large house,Palakkad,0,2,Loose / refill,,Always,250g_500g,biomethanation,monthly,1,1-2,recycle,0,0,1
user511@gmail.com,1,Large house,Kannur,0,6,Plastic packet,7+,Sometimes,less_250g,biomethanation,weekly,2,none,trash,0,3,1
user514@gmail.com,1,Large house,Kannur,0,2,Plastic packet,1-3,Always,less_250g,mixed,weekly,2,1-2,store,0,0,1
user544@gmail.com,6+,Small house,Thrissur,5,19,Plastic packet,1-3,Never,more_1kg,worm_compost,weekly,4,none,store,3,3,1
user546@gmail.com,6+,Small house,Thrissur,6,14,Loose / refill,4-7,Sometimes,more_1kg,worm_compost,no,4,1-2,trash,3,0,1
user571@gmail.com,1,Small house,Kannur,0,4,Plastic bottle,,Always,less_250g,mixed,daily,3,none,sell,0,3,1
user575@gmail.com,1,Small house,Wayanad,0,4,Loose / refill,,Sometimes,less_250g,biomethanation,no,4,1-2,recycle,0,0,1
user578@gmail.com,6+,Large house,Kasaragod,5,2,Plastic packet,,Never,more_1kg,biomethanation,daily,1,none,trash,3,3,1
user588@gmail.com,6+,Apartment,Thiruvananthapuram,5,6,Plastic packet,4-7,Sometimes,more_1kg,collector,monthly,4,none,recycle,3,3,1
user596@gmail.com,1,Small house,Palakkad,0,18,Plastic packet,7+,Never,less_250g,community,daily,0,1-2,store,0,0,1
user641@gmail.com,6+,Small house,Idukki,6,4,Loose / refill,7+,Always,more_1kg,worm_compost,daily,1,1-2,store,3,0,1
user662@gmail.com,1,Large house,Kannur,0,10,Loose / refill,1-3,Never,less_250g,collector,weekly,0,none,store,0,3,1
user677@gmail.com,6+,Small house,Kannur,5,20,Plastic bottle,1-3,Always,more_1kg,biomethanation,daily,4,3-5,trash,3,1,1
user699@gmail.com,1,Large house,Pathanamthitta,0,5,Plastic packet,4-7,Always,less_250g,collector,daily,2,none,sell,0,3,1
user705@gmail.com,1,Small house,Kannur,0,2,Plastic bottle,7+,Never,less_250g,mixed,monthly,3,3-5,trash,0,1,1
user722@gmail.com,1,Small house,Kollam,0,19,Plastic packet,7+,Never,less_250g,worm_compost,monthly,0,none,store,0,3,1
user739@gmail.com,6+,Large house,Kottayam,5,2,Loose / refill,7+,Always,more_1kg,collector,daily,4,none,recycle,3,3,1
user743@gmail.com,6+,Large house,Kannur,5,19,Loose / refill,7+,Never,more_1kg,community,weekly,3,none,sell,3,3,1
user775@gmail.com,6+,Large house,Palakkad,4,2,Loose / refill,4-7,Always,more_1kg,collector,monthly,4,3-5,sell,3,1,1
user787@gmail.com,6+,Small house,Malappuram,5,18,Plastic bottle,,Always,more_1kg,worm_compost,no,4,none,trash,3,3,1
user794@gmail.com,6+,Small house,Ernakulam,6,5,Loose / refill,4-7,Always,more_1kg,collector,weekly,2,1-2,store,3,0,1
user811@gmail.com,1,Small house,Kozhikode,0,2,Loose / refill,1-3,Always,less_250g,worm_compost,daily,0,1-2,recycle,0,0,1
user876@gmail.com,6+,Large house,Kollam,6,14,Loose / refill,7+,Sometimes,more_1kg,community,no,0,none,sell,3,3,1
