id,user_email,old_devices,batteries,disposal_method
1,ckshanima2005@gmail.com,20,1-2,recycle
2,ckshanima2005@gmail.com,12,1-2,store
3,ckshanima2005@gmail.com,12,1-2,recycle
4,ckshanima2005@gmail.com,12,1-2,recycle
5,ckshanima2005@gmail.com,12,1-2,recycle
6,user1@gmail.com,3,6+,recycle
7,user2@gmail.com,4,1-2,sell
8,user3@gmail.com,2,6+,recycle
9,user4@gmail.com,2,none,trash
10,user5@gmail.com,4,1-2,store
11,user6@gmail.com,1,none,sell
12,user7@gmail.com,1,6+,recycle
13,user8@gmail.com,3,3-5,trash
14,user9@gmail.com,4,1-2,trash
15,user10@gmail.com,0,6+,recycle
16,user11@gmail.com,3,6+,trash
17,user12@gmail.com,4,none,sell
18,user13@gmail.com,4,1-2,store
19,user14@gmail.com,0,6+,store
20,user15@gmail.com,3,3-5,store
21,user16@gmail.com,2,6+,recycle
22,user17@gmail.com,0,3-5,trash
23,user18@gmail.com,4,none,trash
24,user19@gmail.com,0,3-5,recycle
25,user20@gmail.com,4,1-2,recycle
26,user21@gmail.com,0,none,store
27,user22@gmail.com,2,1-2,trash
28,user23@gmail.com,4,none,trash
29,user24@gmail.com,2,6+,store
30,user25@gmail.com,4,6+,trash
31,user26@gmail.com,0,none,recycle
32,user27@gmail.com,1,6+,recycle
33,user28@gmail.com,2,none,sell
34,user29@gmail.com,2,1-2,recycle
35,user30@gmail.com,4,3-5,trash
36,user31@gmail.com,1,3-5,trash
37,user32@gmail.com,1,3-5,trash
38,user33@gmail.com,4,3-5,recycle
39,user34@gmail.com,3,1-2,trash
40,user35@gmail.com,3,none,sell
41,user36@gmail.com,4,1-2,trash
42,user37@gmail.com,1,3-5,sell
43,user38@gmail.com,1,3-5,store
44,user39@gmail.com,3,3-5,trash
45,user40@gmail.com,2,3-5,store
46,user41@gmail.com,2,6+,store
47,user42@gmail.com,3,1-2,recycle
48,user43@gmail.com,1,6+,recycle
49,user44@gmail.com,1,6+,trash
50,user45@gmail.com,2,1-2,recycle
