id,user_email,family_size,house_type,resident_name,house_no,apartment_name,flat_no,street,landmark,ward_number,local_body,district,pincode,milk_packets,deliveries,oil_type,bottles,segregation,hks_frequency,receipt
1,ckshanima2005@gmail.com,2-3,Apartment,asdfghjkl,123456,,,dfghjk,jklkjhgghjkl,12,asdfghjk,Palakkad,123456,2,10,Plastic packet,1-3,Always,Every 2-3 months,No
2,ckshanima2005@gmail.com,2-3,Small house,asdfghjkl,123456,,,dfghjk,jklkjhgghjkl,12,asdfghjk,Kannur,123456,2,10,Plastic packet,1-3,Always,Every month,Yes
3,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,1-3,Always,Every month,Yes
4,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,1-3,Always,Every month,Yes
5,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,4-7,Always,Every month,Yes
6,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,4-7,Always,Every month,Yes
7,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,4-7,Always,Every month,Yes
8,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,4-7,Always,Every month,Yes
9,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,4-7,Always,Every 2-3 months,Yes
10,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,4-7,Always,Every month,Yes
11,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,1-3,Always,Every month,Yes
12,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,1-3,Always,Every month,Yes
13,ckshanima2005@gmail.com,2-3,Small house,Shanima,123456,,,ernakulam,cusat,34,kalamassery,Ernakulam,680021,2,14,Plastic bottle,4-7,Always,Every month,Yes
14,user1@gmail.com,2-3,Apartment,Resident_1,243/1,,,Main Road,Near School,Ward 20,Municipality,Kollam,670983,2,19,Plastic bottle,None,Never,Every 2-3 months,Yes
