user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method,family_size_encoded,batteries_encoded,fraud_probability,fraud_flag
user11@gmail.com,6+,Apartment,Kollam,6,9,Plastic packet,7+,Never,250g_500g,collector,no,1,1-2,sell,3,0,71.98,1
user30@gmail.com,6+,Small house,Malappuram,5,2,Loose / refill,1-3,Sometimes,250g_500g,community,daily,0,3-5,sell,3,1,73.47,1
user50@gmail.com,6+,Large house,Kasaragod,6,16,Plastic bottle,1-3,Always,250g_500g,biomethanation,daily,0,1-2,recycle,3,0,71.24,1
user70@gmail.com,6+,Apartment,Kozhikode,5,5,Plastic bottle,1-3,Always,250g_500g,biomethanation,daily,0,none,sell,3,3,74.07,1
user84@gmail.com,1,Large house,Thiruvananthapuram,0,9,Plastic packet,4-7,Sometimes,250g_500g,biomethanation,no,0,none,sell,0,3,79.49,1
user97@gmail.com,6+,Small house,Wayanad,6,6,Loose / refill,,Never,250g_500g,biomethanation,weekly,0,6+,trash,3,2,72.9,1
user106@gmail.com,6+,Large house,Kottayam,5,2,Loose / refill,1-3,Never,250g_500g,collector,monthly,0,1-2,recycle,3,0,77.68,1
user108@gmail.com,6+,Small house,Kollam,6,2,Plastic bottle,1-3,Sometimes,250g_500g,biomethanation,weekly,1,1-2,trash,3,0,87.34,1
user144@gmail.com,6+,Small house,Kozhikode,5,16,Plastic bottle,1-3,Sometimes,250g_500g,collector,no,0,none,recycle,3,3,76.31,1
user152@gmail.com,1,Small house,Thiruvananthapuram,1,2,Plastic bottle,,Never,250g_500g,biomethanation,monthly,0,none,sell,0,3,83.92,1
user160@gmail.com,6+,Apartment,Palakkad,5,18,Loose / refill,1-3,Sometimes,250g_500g,collector,daily,0,none,store,3,3,76.99,1
user172@gmail.com,1,Apartment,Wayanad,0,19,Loose / refill,,Never,250g_500g,mixed,weekly,0,none,sell,0,3,90.57,1
user215@gmail.com,1,Apartment,Thiruvananthapuram,0,20,Loose / refill,4-7,Never,250g_500g,biomethanation,no,0,1-2,recycle,0,0,87.75,1
user225@gmail.com,6+,Small house,Thrissur,6,5,Plastic packet,4-7,Never,250g_500g,biomethanation,weekly,0,1-2,sell,3,0,72.17,1
user237@gmail.com,6+,Large house,Malappuram,6,16,Plastic packet,7+,Always,250g_500g,collector,monthly,0,1-2,recycle,3,0,71.24,1
user248@gmail.com,6+,Apartment,Wayanad,6,17,Loose / refill,1-3,Never,250g_500g,biomethanation,monthly,0,1-2,trash,3,0,72.7,1
user261@gmail.com,6+,Apartment,Kozhikode,6,2,Plastic bottle,1-3,Never,250g_500g,mixed,daily,1,6+,recycle,3,2,86.72,1
user272@gmail.com,6+,Apartment,Palakkad,6,16,Plastic packet,,Always,250g_500g,home_compost,daily,0,3-5,trash,3,1,70.6,1
user317@gmail.com,6+,Small house,Ernakulam,6,2,Loose / refill,4-7,Always,250g_500g,biomethanation,monthly,0,1-2,recycle,3,0,86.3,1
user352@gmail.com,1,Apartment,Kollam,1,20,Loose / refill,1-3,Always,250g_500g,community,monthly,0,6+,sell,0,2,70.46,1
user363@gmail.com,1,Large house,Pathanamthitta,0,3,Plastic bottle,7+,Sometimes,250g_500g,home_compost,no,0,1-2,store,0,0,73.5,1
user380@gmail.com,1,Apartment,Wayanad,0,3,Loose / refill,7+,Always,250g_500g,home_compost,no,0,1-2,store,0,0,73.5,1
user382@gmail.com,6+,Small house,Palakkad,6,2,Plastic packet,1-3,Never,250g_500g,collector,daily,0,3-5,recycle,3,1,84.6,1
user392@gmail.com,6+,Large house,Kozhikode,6,18,Plastic bottle,1-3,Sometimes,250g_500g,collector,daily,1,1-2,recycle,3,0,76.35,1
user416@gmail.com,6+,Small house,Thiruvananthapuram,5,20,Plastic bottle,4-7,Always,250g_500g,collector,daily,0,3-5,recycle,3,1,73.0,1
user417@gmail.com,6+,Large house,Kottayam,5,18,Loose / refill,1-3,Never,250g_500g,biomethanation,monthly,0,none,trash,3,3,76.99,1
user422@gmail.com,1,Small house,Wayanad,0,16,Plastic bottle,,Never,250g_500g,biomethanation,weekly,0,1-2,trash,0,0,74.18,1
user438@gmail.com,1,Small house,Kottayam,0,20,Plastic packet,7+,Sometimes,250g_500g,community,monthly,0,3-5,sell,0,1,75.72,1
user454@gmail.com,1,Large house,Thiruvananthapuram,0,19,Plastic bottle,,Sometimes,250g_500g,biomethanation,monthly,0,1-2,sell,0,0,80.81,1
user464@gmail.com,6+,Small house,Pathanamthitta,6,2,Loose / refill,4-7,Sometimes,250g_500g,collector,no,0,3-5,trash,3,1,84.6,1
user482@gmail.com,6+,Large house,Kannur,5,19,Plastic bottle,,Always,250g_500g,community,daily,1,none,recycle,3,3,77.92,1
user491@gmail.com,1,Large house,Palakkad,0,2,Loose / refill,,Always,250g_500g,biomethanation,monthly,1,1-2,recycle,0,0,81.26,1
user498@gmail.com,1,Small house,Kozhikode,0,19,Plastic packet,1-3,Never,250g_500g,biomethanation,daily,0,6+,trash,0,2,72.93,1
user511@gmail.com,1,Large house,Kannur,0,6,Plastic packet,7+,Sometimes,less_250g,biomethanation,weekly,2,none,trash,0,3,82.75,1
user514@gmail.com,1,Large house,Kannur,0,2,Plastic packet,1-3,Always,less_250g,mixed,weekly,2,1-2,store,0,0,84.97,1
user544@gmail.com,6+,Small house,Thrissur,5,19,Plastic packet,1-3,Never,more_1kg,worm_compost,weekly,4,none,store,3,3,79.57,1
user546@gmail.com,6+,Small house,Thrissur,6,14,Loose / refill,4-7,Sometimes,more_1kg,worm_compost,no,4,1-2,trash,3,0,82.44,1
user566@gmail.com,1,Large house,Palakkad,0,6,Plastic bottle,7+,Never,less_250g,community,daily,3,6+,store,0,2,70.86,1
user568@gmail.com,1,Small house,Kottayam,1,4,Plastic packet,1-3,Always,less_250g,community,monthly,4,1-2,recycle,0,0,72.89,1
user571@gmail.com,1,Small house,Kannur,0,4,Plastic bottle,,Always,less_250g,mixed,daily,3,none,sell,0,3,87.98,1
user575@gmail.com,1,Small house,Wayanad,0,4,Loose / refill,,Sometimes,less_250g,biomethanation,no,4,1-2,recycle,0,0,85.46,1
user576@gmail.com,1,Small house,Thrissur,1,8,Plastic bottle,7+,Sometimes,less_250g,collector,no,4,none,store,0,3,73.3,1
user577@gmail.com,1,Small house,Kannur,0,16,Plastic packet,,Always,less_250g,home_compost,daily,0,1-2,store,0,0,74.18,1
user578@gmail.com,6+,Large house,Kasaragod,5,2,Plastic packet,,Never,more_1kg,biomethanation,daily,1,none,trash,3,3,82.08,1
user582@gmail.com,6+,Small house,Kasaragod,5,5,Plastic bottle,4-7,Always,more_1kg,community,no,3,1-2,store,3,0,72.5,1
user588@gmail.com,6+,Apartment,Thiruvananthapuram,5,6,Plastic packet,4-7,Sometimes,more_1kg,collector,monthly,4,none,recycle,3,3,79.8,1
user596@gmail.com,1,Small house,Palakkad,0,18,Plastic packet,7+,Never,less_250g,community,daily,0,1-2,store,0,0,79.93,1
user641@gmail.com,6+,Small house,Idukki,6,4,Loose / refill,7+,Always,more_1kg,worm_compost,daily,1,1-2,store,3,0,78.31,1
user655@gmail.com,1,Large house,Pathanamthitta,0,4,Loose / refill,4-7,Sometimes,less_250g,mixed,daily,1,6+,sell,0,2,74.03,1
user662@gmail.com,1,Large house,Kannur,0,10,Loose / refill,1-3,Never,less_250g,collector,weekly,0,none,store,0,3,79.69,1
user677@gmail.com,6+,Small house,Kannur,5,20,Plastic bottle,1-3,Always,more_1kg,biomethanation,daily,4,3-5,trash,3,1,83.75,1
user699@gmail.com,1,Large house,Pathanamthitta,0,5,Plastic packet,4-7,Always,less_250g,collector,daily,2,none,sell,0,3,87.16,1
user704@gmail.com,6+,Large house,Kollam,6,15,Loose / refill,1-3,Always,more_1kg,biomethanation,weekly,2,6+,trash,3,2,72.68,1
user705@gmail.com,1,Small house,Kannur,0,2,Plastic bottle,7+,Never,less_250g,mixed,monthly,3,3-5,trash,0,1,79.56,1
user709@gmail.com,6+,Apartment,Kollam,5,17,Plastic bottle,7+,Sometimes,more_1kg,collector,daily,3,none,trash,3,3,71.92,1
user714@gmail.com,1,Large house,Ernakulam,1,20,Loose / refill,,Sometimes,less_250g,community,daily,4,3-5,sell,0,1,74.31,1
user720@gmail.com,6+,Small house,Palakkad,5,4,Plastic packet,1-3,Never,more_1kg,mixed,monthly,3,3-5,store,3,1,71.72,1
user722@gmail.com,1,Small house,Kollam,0,19,Plastic packet,7+,Never,less_250g,worm_compost,monthly,0,none,store,0,3,90.57,1
user739@gmail.com,6+,Large house,Kottayam,5,2,Loose / refill,7+,Always,more_1kg,collector,daily,4,none,recycle,3,3,92.09,1
user743@gmail.com,6+,Large house,Kannur,5,19,Loose / refill,7+,Never,more_1kg,community,weekly,3,none,sell,3,3,77.57,1
user752@gmail.com,6+,Small house,Ernakulam,6,10,Plastic packet,4-7,Never,more_1kg,home_compost,monthly,3,3-5,store,3,1,73.32,1
user775@gmail.com,6+,Large house,Palakkad,4,2,Loose / refill,4-7,Always,more_1kg,collector,monthly,4,3-5,sell,3,1,77.18,1
